"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 06:06:52 GMT 2023","Tue Oct 17 06:06:52 GMT 2023","13","Waku Filter V2: Subscribe","","","","","Subscribe to topic containing long and receive message",""
"passed","Tue Oct 17 06:07:54 GMT 2023","Tue Oct 17 06:07:54 GMT 2023","0","Wait for remote peer","","","","","Store - dialed after - with timeout",""
"passed","Tue Oct 17 06:07:49 GMT 2023","Tue Oct 17 06:07:49 GMT 2023","1","Waku Store, time filter","","","","","msgTime: -19000 ms from now, startTime: -18999, endTime: -18996",""
"passed","Tue Oct 17 06:07:14 GMT 2023","Tue Oct 17 06:07:14 GMT 2023","1","Waku Store, error handling","","","","","Query with Promise Callback, Multiple PubSubTopics",""
"passed","Tue Oct 17 06:07:06 GMT 2023","Tue Oct 17 06:07:06 GMT 2023","1","Waku Store, custom pubsub topic","","","","","Generator, 2 different pubsubtopics",""
"passed","Tue Oct 17 06:07:54 GMT 2023","Tue Oct 17 06:07:54 GMT 2023","0","Wait for remote peer","","","","","Relay - times out",""
"passed","Tue Oct 17 06:05:10 GMT 2023","Tue Oct 17 06:05:10 GMT 2023","0","This","Is","","","","A test",""
"passed","Tue Oct 17 06:05:06 GMT 2023","Tue Oct 17 06:05:06 GMT 2023","4","Waku Filter V2: Ping","","","","","Ping on subscribed peer",""
"passed","Tue Oct 17 06:07:49 GMT 2023","Tue Oct 17 06:07:49 GMT 2023","0","Waku Store, time filter","","","","","msgTime: -19000 ms from now, startTime: -19000, endTime: -18000",""
"passed","Tue Oct 17 06:06:52 GMT 2023","Tue Oct 17 06:06:52 GMT 2023","1","Waku Filter V2: Subscribe","","","","","Subscribe to topic containing shell command and receive message",""
"passed","Tue Oct 17 06:06:47 GMT 2023","Tue Oct 17 06:06:47 GMT 2023","1","Waku Filter V2: FilterPush","","","","","Check received message containing numeric",""
"passed","Tue Oct 17 06:07:14 GMT 2023","Tue Oct 17 06:07:14 GMT 2023","0","Waku Store, error handling","","","","","Query Generator, Multiple PubSubTopics",""
"passed","Tue Oct 17 06:06:47 GMT 2023","Tue Oct 17 06:06:47 GMT 2023","1","Waku Filter V2: FilterPush","","","","","Check received message containing Russian",""
"passed","Tue Oct 17 06:06:47 GMT 2023","Tue Oct 17 06:06:47 GMT 2023","0","Waku Filter V2: FilterPush","","","","","Check received message with no pubsub topic is not received",""
"passed","Tue Oct 17 06:07:21 GMT 2023","Tue Oct 17 06:07:21 GMT 2023","1","Waku Light Push","","","","","Fails to push message bigger that 1MB",""
"passed","Tue Oct 17 06:07:22 GMT 2023","Tue Oct 17 06:07:22 GMT 2023","0","Waku Store, order","","","","","Query Generator  - backward",""
"skipped","Tue Oct 17 06:05:05 GMT 2023","Tue Oct 17 06:05:05 GMT 2023","0","DNS Node Discovery [live data]","","","","","should retrieve 3 multiaddrs for test.waku.nodes.status.im",""
"passed","Tue Oct 17 06:07:54 GMT 2023","Tue Oct 17 06:07:54 GMT 2023","0","Wait for remote peer","","","","","Privacy Node - default protocol",""
